Node	Time	Technology	AvailabilityFactor
4	3	HeatPump_MT	0.98
5	3	HeatPump_MT	0.98
6	3	HeatPump_MT	0.98
7	3	HeatPump_MT	0.98
8	3	HeatPump_MT	0.98
9	3	HeatPump_MT	0.98
10	3	HeatPump_MT	0.98
11	3	HeatPump_MT	0.98
12	3	HeatPump_MT	0.98
13	3	HeatPump_MT	0.98
14	3	HeatPump_MT	0.98
15	3	HeatPump_MT	0.98
16	3	HeatPump_MT	0.98
17	3	HeatPump_MT	0.98
18	3	HeatPump_MT	0.98
19	3	HeatPump_MT	0.98
20	3	HeatPump_MT	0.98
1	1	PV	0.0
2	1	PV	0.0047652
3	1	PV	0.026240600000000003
4	1	PV	0.06968179999999999
5	1	PV	0.14797339999999998
6	1	PV	0.2587338
7	1	PV	0.2587338
8	1	PV	0.2587338
9	1	PV	0.2587338
10	1	PV	0.2587338
11	1	PV	0.2587338
12	1	PV	0.2587338
13	1	PV	0.2587338
14	1	PV	0.2587338
15	1	PV	0.2587338
16	1	PV	0.2587338
17	1	PV	0.2587338
18	1	PV	0.2587338
19	1	PV	0.2587338
20	1	PV	0.2587338
1	2	PV	0.22494899999999998
2	2	PV	0.1364236
3	2	PV	0.06791040000000001
4	2	PV	0.0335556
5	2	PV	0.005515
6	2	PV	0.0
7	2	PV	0.0
8	2	PV	0.0
9	2	PV	0.0
10	2	PV	0.0
11	2	PV	0.0
12	2	PV	0.0
13	2	PV	0.0
14	2	PV	0.0
15	2	PV	0.0
16	2	PV	0.0
17	2	PV	0.0
18	2	PV	0.0
19	2	PV	0.0
20	2	PV	0.0
1	3	PV	0.0
2	3	PV	0.0
3	3	PV	0.0
4	3	PV	0.0
5	3	PV	0.0
6	3	PV	0.0
7	3	PV	0.0
8	3	PV	0.0
9	3	PV	0.0
10	3	PV	0.0
11	3	PV	0.0
12	3	PV	0.0
13	3	PV	0.0
14	3	PV	0.0
15	3	PV	0.0
16	3	PV	0.0
17	3	PV	0.0
18	3	PV	0.0
19	3	PV	0.0
20	3	PV	0.0
1	1	P2G	0.98
2	1	P2G	0.98
3	1	P2G	0.98
4	1	P2G	0.98
5	1	P2G	0.98
6	1	P2G	0.98
7	1	P2G	0.98
8	1	P2G	0.98
9	1	P2G	0.98
10	1	P2G	0.98
11	1	P2G	0.98
12	1	P2G	0.98
13	1	P2G	0.98
14	1	P2G	0.98
15	1	P2G	0.98
16	1	P2G	0.98
17	1	P2G	0.98
18	1	P2G	0.98
19	1	P2G	0.98
20	1	P2G	0.98
1	2	P2G	0.98
2	2	P2G	0.98
3	2	P2G	0.98
4	2	P2G	0.98
5	2	P2G	0.98
6	2	P2G	0.98
7	2	P2G	0.98
8	2	P2G	0.98
9	2	P2G	0.98
10	2	P2G	0.98
11	2	P2G	0.98
12	2	P2G	0.98
13	2	P2G	0.98
14	2	P2G	0.98
15	2	P2G	0.98
16	2	P2G	0.98
17	2	P2G	0.98
18	2	P2G	0.98
19	2	P2G	0.98
20	2	P2G	0.98
1	3	P2G	0.98
2	3	P2G	0.98
3	3	P2G	0.98
4	3	P2G	0.98
5	3	P2G	0.98
6	3	P2G	0.98
7	3	P2G	0.98
8	3	P2G	0.98
9	3	P2G	0.98
10	3	P2G	0.98
11	3	P2G	0.98
12	3	P2G	0.98
13	3	P2G	0.98
14	3	P2G	0.98
15	3	P2G	0.98
16	3	P2G	0.98
17	3	P2G	0.98
18	3	P2G	0.98
19	3	P2G	0.98
20	3	P2G	0.98
1	1	G2P	0.98
2	1	G2P	0.98
3	1	G2P	0.98
4	1	G2P	0.98
5	1	G2P	0.98
6	1	G2P	0.98
7	1	G2P	0.98
8	1	G2P	0.98
9	1	G2P	0.98
10	1	G2P	0.98
11	1	G2P	0.98
12	1	G2P	0.98
13	1	G2P	0.98
14	1	G2P	0.98
15	1	G2P	0.98
16	1	G2P	0.98
17	1	G2P	0.98
18	1	G2P	0.98
19	1	G2P	0.98
20	1	G2P	0.98
1	2	G2P	0.98
2	2	G2P	0.98
3	2	G2P	0.98
4	2	G2P	0.98
5	2	G2P	0.98
6	2	G2P	0.98
7	2	G2P	0.98
8	2	G2P	0.98
9	2	G2P	0.98
10	2	G2P	0.98
11	2	G2P	0.98
12	2	G2P	0.98
13	2	G2P	0.98
14	2	G2P	0.98
15	2	G2P	0.98
16	2	G2P	0.98
17	2	G2P	0.98
18	2	G2P	0.98
19	2	G2P	0.98
20	2	G2P	0.98
1	3	G2P	0.98
2	3	G2P	0.98
3	3	G2P	0.98
4	3	G2P	0.98
5	3	G2P	0.98
6	3	G2P	0.98
7	3	G2P	0.98
8	3	G2P	0.98
9	3	G2P	0.98
10	3	G2P	0.98
11	3	G2P	0.98
12	3	G2P	0.98
13	3	G2P	0.98
14	3	G2P	0.98
15	3	G2P	0.98
16	3	G2P	0.98
17	3	G2P	0.98
18	3	G2P	0.98
19	3	G2P	0.98
20	3	G2P	0.98
1	1	GasBoiler	0.98
2	1	GasBoiler	0.98
3	1	GasBoiler	0.98
4	1	GasBoiler	0.98
5	1	GasBoiler	0.98
6	1	GasBoiler	0.98
7	1	GasBoiler	0.98
8	1	GasBoiler	0.98
9	1	GasBoiler	0.98
10	1	GasBoiler	0.98
11	1	GasBoiler	0.98
12	1	GasBoiler	0.98
13	1	GasBoiler	0.98
14	1	GasBoiler	0.98
15	1	GasBoiler	0.98
16	1	GasBoiler	0.98
17	1	GasBoiler	0.98
18	1	GasBoiler	0.98
19	1	GasBoiler	0.98
20	1	GasBoiler	0.98
1	2	GasBoiler	0.98
2	2	GasBoiler	0.98
3	2	GasBoiler	0.98
4	2	GasBoiler	0.98
5	2	GasBoiler	0.98
6	2	GasBoiler	0.98
7	2	GasBoiler	0.98
8	2	GasBoiler	0.98
9	2	GasBoiler	0.98
10	2	GasBoiler	0.98
11	2	GasBoiler	0.98
12	2	GasBoiler	0.98
13	2	GasBoiler	0.98
14	2	GasBoiler	0.98
15	2	GasBoiler	0.98
16	2	GasBoiler	0.98
17	2	GasBoiler	0.98
18	2	GasBoiler	0.98
19	2	GasBoiler	0.98
20	2	GasBoiler	0.98
1	3	GasBoiler	0.98
2	3	GasBoiler	0.98
3	3	GasBoiler	0.98
4	3	GasBoiler	0.98
5	3	GasBoiler	0.98
6	3	GasBoiler	0.98
7	3	GasBoiler	0.98
8	3	GasBoiler	0.98
9	3	GasBoiler	0.98
10	3	GasBoiler	0.98
11	3	GasBoiler	0.98
12	3	GasBoiler	0.98
13	3	GasBoiler	0.98
14	3	GasBoiler	0.98
15	3	GasBoiler	0.98
16	3	GasBoiler	0.98
17	3	GasBoiler	0.98
18	3	GasBoiler	0.98
19	3	GasBoiler	0.98
20	3	GasBoiler	0.98
1	1	CHP	0.98
2	1	CHP	0.98
3	1	CHP	0.98
4	1	CHP	0.98
5	1	CHP	0.98
6	1	CHP	0.98
7	1	CHP	0.98
8	1	CHP	0.98
9	1	CHP	0.98
10	1	CHP	0.98
11	1	CHP	0.98
12	1	CHP	0.98
13	1	CHP	0.98
14	1	CHP	0.98
15	1	CHP	0.98
16	1	CHP	0.98
17	1	CHP	0.98
18	1	CHP	0.98
19	1	CHP	0.98
20	1	CHP	0.98
1	2	CHP	0.98
2	2	CHP	0.98
3	2	CHP	0.98
4	2	CHP	0.98
5	2	CHP	0.98
6	2	CHP	0.98
7	2	CHP	0.98
8	2	CHP	0.98
9	2	CHP	0.98
10	2	CHP	0.98
11	2	CHP	0.98
12	2	CHP	0.98
13	2	CHP	0.98
14	2	CHP	0.98
15	2	CHP	0.98
16	2	CHP	0.98
17	2	CHP	0.98
18	2	CHP	0.98
19	2	CHP	0.98
20	2	CHP	0.98
1	3	CHP	0.98
2	3	CHP	0.98
3	3	CHP	0.98
4	3	CHP	0.98
5	3	CHP	0.98
6	3	CHP	0.98
7	3	CHP	0.98
8	3	CHP	0.98
9	3	CHP	0.98
10	3	CHP	0.98
11	3	CHP	0.98
12	3	CHP	0.98
13	3	CHP	0.98
14	3	CHP	0.98
15	3	CHP	0.98
16	3	CHP	0.98
17	3	CHP	0.98
18	3	CHP	0.98
19	3	CHP	0.98
20	3	CHP	0.98
1	1	Biogas_Grid	0.9
2	1	Biogas_Grid	0.9
3	1	Biogas_Grid	0.9
4	1	Biogas_Grid	0.9
5	1	Biogas_Grid	0.9
6	1	Biogas_Grid	0.9
7	1	Biogas_Grid	0.9
8	1	Biogas_Grid	0.9
9	1	Biogas_Grid	0.9
10	1	Biogas_Grid	0.9
11	1	Biogas_Grid	0.9
12	1	Biogas_Grid	0.9
13	1	Biogas_Grid	0.9
14	1	Biogas_Grid	0.9
15	1	Biogas_Grid	0.9
16	1	Biogas_Grid	0.9
17	1	Biogas_Grid	0.9
18	1	Biogas_Grid	0.9
19	1	Biogas_Grid	0.9
20	1	Biogas_Grid	0.9
1	2	Biogas_Grid	0.9
2	2	Biogas_Grid	0.9
3	2	Biogas_Grid	0.9
4	2	Biogas_Grid	0.9
5	2	Biogas_Grid	0.9
6	2	Biogas_Grid	0.9
7	2	Biogas_Grid	0.9
8	2	Biogas_Grid	0.9
9	2	Biogas_Grid	0.9
10	2	Biogas_Grid	0.9
11	2	Biogas_Grid	0.9
12	2	Biogas_Grid	0.9
13	2	Biogas_Grid	0.9
14	2	Biogas_Grid	0.9
15	2	Biogas_Grid	0.9
16	2	Biogas_Grid	0.9
17	2	Biogas_Grid	0.9
18	2	Biogas_Grid	0.9
19	2	Biogas_Grid	0.9
20	2	Biogas_Grid	0.9
1	3	Biogas_Grid	0.9
2	3	Biogas_Grid	0.9
3	3	Biogas_Grid	0.9
4	3	Biogas_Grid	0.9
5	3	Biogas_Grid	0.9
6	3	Biogas_Grid	0.9
7	3	Biogas_Grid	0.9
8	3	Biogas_Grid	0.9
9	3	Biogas_Grid	0.9
10	3	Biogas_Grid	0.9
11	3	Biogas_Grid	0.9
12	3	Biogas_Grid	0.9
13	3	Biogas_Grid	0.9
14	3	Biogas_Grid	0.9
15	3	Biogas_Grid	0.9
16	3	Biogas_Grid	0.9
17	3	Biogas_Grid	0.9
18	3	Biogas_Grid	0.9
19	3	Biogas_Grid	0.9
20	3	Biogas_Grid	0.9
1	1	CH4_Grid	0.8
2	1	CH4_Grid	0.8
3	1	CH4_Grid	0.8
4	1	CH4_Grid	0.8
5	1	CH4_Grid	0.8
6	1	CH4_Grid	0.8
7	1	CH4_Grid	0.8
8	1	CH4_Grid	0.8
9	1	CH4_Grid	0.8
10	1	CH4_Grid	0.8
11	1	CH4_Grid	0.8
12	1	CH4_Grid	0.8
13	1	CH4_Grid	0.8
14	1	CH4_Grid	0.8
15	1	CH4_Grid	0.8
16	1	CH4_Grid	0.8
17	1	CH4_Grid	0.8
18	1	CH4_Grid	0.8
19	1	CH4_Grid	0.8
20	1	CH4_Grid	0.8
1	2	CH4_Grid	0.8
2	2	CH4_Grid	0.8
3	2	CH4_Grid	0.8
4	2	CH4_Grid	0.8
5	2	CH4_Grid	0.8
6	2	CH4_Grid	0.8
7	2	CH4_Grid	0.8
8	2	CH4_Grid	0.8
9	2	CH4_Grid	0.8
10	2	CH4_Grid	0.8
11	2	CH4_Grid	0.8
12	2	CH4_Grid	0.8
13	2	CH4_Grid	0.8
14	2	CH4_Grid	0.8
15	2	CH4_Grid	0.8
16	2	CH4_Grid	0.8
17	2	CH4_Grid	0.8
18	2	CH4_Grid	0.8
19	2	CH4_Grid	0.8
20	2	CH4_Grid	0.8
1	3	CH4_Grid	0.8
2	3	CH4_Grid	0.8
3	3	CH4_Grid	0.8
4	3	CH4_Grid	0.8
5	3	CH4_Grid	0.8
6	3	CH4_Grid	0.8
7	3	CH4_Grid	0.8
8	3	CH4_Grid	0.8
9	3	CH4_Grid	0.8
10	3	CH4_Grid	0.8
11	3	CH4_Grid	0.8
12	3	CH4_Grid	0.8
13	3	CH4_Grid	0.8
14	3	CH4_Grid	0.8
15	3	CH4_Grid	0.8
16	3	CH4_Grid	0.8
17	3	CH4_Grid	0.8
18	3	CH4_Grid	0.8
19	3	CH4_Grid	0.8
20	3	CH4_Grid	0.8
1	1	CH4_H2_Mixer	1.0
2	1	CH4_H2_Mixer	1.0
3	1	CH4_H2_Mixer	1.0
4	1	CH4_H2_Mixer	1.0
5	1	CH4_H2_Mixer	1.0
6	1	CH4_H2_Mixer	1.0
7	1	CH4_H2_Mixer	1.0
8	1	CH4_H2_Mixer	1.0
9	1	CH4_H2_Mixer	1.0
10	1	CH4_H2_Mixer	1.0
11	1	CH4_H2_Mixer	1.0
12	1	CH4_H2_Mixer	1.0
13	1	CH4_H2_Mixer	1.0
14	1	CH4_H2_Mixer	1.0
15	1	CH4_H2_Mixer	1.0
16	1	CH4_H2_Mixer	1.0
17	1	CH4_H2_Mixer	1.0
18	1	CH4_H2_Mixer	1.0
19	1	CH4_H2_Mixer	1.0
20	1	CH4_H2_Mixer	1.0
1	2	CH4_H2_Mixer	1.0
2	2	CH4_H2_Mixer	1.0
3	2	CH4_H2_Mixer	1.0
4	2	CH4_H2_Mixer	1.0
5	2	CH4_H2_Mixer	1.0
6	2	CH4_H2_Mixer	1.0
7	2	CH4_H2_Mixer	1.0
8	2	CH4_H2_Mixer	1.0
9	2	CH4_H2_Mixer	1.0
10	2	CH4_H2_Mixer	1.0
11	2	CH4_H2_Mixer	1.0
12	2	CH4_H2_Mixer	1.0
13	2	CH4_H2_Mixer	1.0
14	2	CH4_H2_Mixer	1.0
15	2	CH4_H2_Mixer	1.0
16	2	CH4_H2_Mixer	1.0
17	2	CH4_H2_Mixer	1.0
18	2	CH4_H2_Mixer	1.0
19	2	CH4_H2_Mixer	1.0
20	2	CH4_H2_Mixer	1.0
1	3	CH4_H2_Mixer	1.0
2	3	CH4_H2_Mixer	1.0
3	3	CH4_H2_Mixer	1.0
4	3	CH4_H2_Mixer	1.0
5	3	CH4_H2_Mixer	1.0
6	3	CH4_H2_Mixer	1.0
7	3	CH4_H2_Mixer	1.0
8	3	CH4_H2_Mixer	1.0
9	3	CH4_H2_Mixer	1.0
10	3	CH4_H2_Mixer	1.0
11	3	CH4_H2_Mixer	1.0
12	3	CH4_H2_Mixer	1.0
13	3	CH4_H2_Mixer	1.0
14	3	CH4_H2_Mixer	1.0
15	3	CH4_H2_Mixer	1.0
16	3	CH4_H2_Mixer	1.0
17	3	CH4_H2_Mixer	1.0
18	3	CH4_H2_Mixer	1.0
19	3	CH4_H2_Mixer	1.0
20	3	CH4_H2_Mixer	1.0
